T,x(Al@L12_FCC),x(Al@Fcc)
300,0.2499995089,0.0639794
314,0.2499989781,0.06495598187
328,0.2499980114,0.06609178957
342,0.2499963532,0.06742974347
356,0.2499936598,0.06903522403
370,0.2499895002,0.07101765994
384,0.2499833811,0.07358822723
398,0.249974826,0.07727069806
412,0.2499633283,0.07915456877
426,0.2499480869,0.08058024985
440,0.2499283175,0.08185831394
454,0.2499031772,0.08304809436
468,0.2498717739,0.08418039508
482,0.249833178,0.08527344662
496,0.249786435,0.08633909041
510,0.2497305797,0.0873855476
524,0.24966465,0.08841880649
538,0.249587701,0.08944338495
552,0.2494988181,0.09046278259
566,0.2493971306,0.09147976604
580,0.2492818233,0.09249655846
594,0.2491521476,0.09351497071
608,0.2490074315,0.09453649534
622,0.2488470878,0.09556237571
636,0.248670622,0.09659365819
650,0.2484776372,0.09763123214
664,0.2482678391,0.09867586122
678,0.248041039,0.09972820808
692,0.2477971553,0.1007888542
706,0.2475362125,0.1018583079
720,0.2472583459,0.1029370495
734,0.2469637921,0.104025494
748,0.2466528907,0.1051240319
762,0.2463260799,0.1062330289
776,0.2459838918,0.1073528318
790,0.2456269475,0.108483774
804,0.2452559511,0.1096261797
818,0.2448716843,0.1107803675
832,0.244475,0.1119466536
846,0.2440668159,0.1131253542
860,0.243648108,0.114316788
874,0.2432199043,0.1155212774
888,0.2427832786,0.1167391503
902,0.2423393443,0.1179707411
916,0.2418892482,0.1192163915
930,0.2414341655,0.120476451
944,0.2409752939,0.1217512777
958,0.2405138488,0.1230412381
972,0.2400510588,0.1243467071
986,0.2395881613,0.1256680682
1000,0.2391263989,0.1270057132
1014,0.2386670153,0.1283600417
1028,0.2382112528,0.1297314604
1042,0.2377603492,0.1311203832
1056,0.2373155353,0.1325272298
1070,0.2368780326,0.1339524254
1084,0.2364490518,0.1353963999
1098,0.2360297903,0.1368595869
1112,0.2356214317,0.1383424229
1126,0.2352251435,0.1398453463
1140,0.2348420765,0.1413687968
1154,0.2344733631,0.1429132141
1168,0.2341201167,0.144479037
1182,0.2337834303,0.1460667028
1196,0.2334643754,0.1476766461
1210,0.233164001,0.1493092979
1224,0.2328833322,0.1509650849
1238,0.232623369,0.1526444288
1252,0.232385085,0.1543477453
1266,0.232169426,0.1560754434
1280,0.2319773084,0.1578279251
1294,0.2318096175,0.1596055847
1308,0.231667206,0.1614088082
1322,0.2315508922,0.1632379733
1336,0.2314614585,0.1650934488
1350,0.231399649,0.1669755948
1364,0.2313661685,0.1688847624
1378,0.23136168,0.1708212942
1392,0.2313868034,0.1727855241
1406,0.2314421136,0.1747777779
1420,0.2315281389,0.1767983736
1434,0.2316453589,0.1788476222
1448,0.2317942029,0.1809258281
1462,0.2319750481,0.1830332896
1476,0.2321882169,0.1851702999
1490,0.2324339747,0.1873371469
1504,0.2327125263,0.1895341139
1518,0.2330240114,0.1917614788
1532,0.2333684989,0.1940195129
1546,0.2337459785,0.1963084785
1560,0.2341563491,0.1986286238
1574,0.2345994023,0.2009801755
1588,0.2350747981,0.2033633253
1602,0.2355820332,0.2057782136
1616,0.2361203746,0.2082248787
1623,0.2364009053,0.2094601063
1624.75,0.2364721959,0.2097701484
1625.625,0.2365080128,0.2099253542
1625.84375,0.2365169849,0.2099641749
1626.045582,0.2365252694,0.21
